idind idcol CXSGT M1079 M1102 M1106 M1112 M1113 M1551 M1975 M1979 M244 M809 M811 M813 M815 M831 PP1 PP3 ancestry probancestry nataldisp
112 M831 0.035 0.032 0.048 0.058 0.06 0.052 0.051 0.063 0.1 0.052 0.063 0.052 0.088 0.058 0.077 0.052 0.057 M1979 0.1 FALSE
139 M831 0.091 0.106 0.065 0.069 0.044 0.062 0.053 0.061 0.04 0.058 0.056 0.046 0.056 0.042 0.053 0.054 0.044 M1079 0.106 FALSE
245 M831 0.058 0.061 0.075 0.034 0.064 0.066 0.058 0.045 0.089 0.04 0.059 0.053 0.074 0.077 0.051 0.051 0.043 M1979 0.089 FALSE
298 PP1 0.054 0.039 0.037 0.059 0.074 0.054 0.058 0.044 0.038 0.044 0.106 0.058 0.059 0.076 0.068 0.08 0.05 M809 0.106 FALSE
1035 M809 0.02 0.023 0.068 0.053 0.068 0.064 0.077 0.042 0.05 0.062 0.089 0.067 0.083 0.066 0.055 0.055 0.059 M809 0.089 TRUE
1073 M1975 0.044 0.085 0.054 0.055 0.043 0.046 0.053 0.113 0.084 0.045 0.057 0.037 0.051 0.037 0.048 0.058 0.089 M1975 0.113 TRUE
1097 M1975 0.047 0.062 0.097 0.054 0.051 0.046 0.041 0.098 0.098 0.031 0.037 0.043 0.062 0.056 0.032 0.056 0.09 M1975 0.098 TRUE
1389 PP1 0.038 0.034 0.051 0.084 0.079 0.069 0.088 0.049 0.043 0.046 0.064 0.049 0.08 0.051 0.067 0.046 0.061 M1551 0.088 FALSE
1501 M1079 0.235 0.305 0.038 0.028 0.025 0.028 0.031 0.036 0.048 0.028 0.028 0.025 0.03 0.03 0.03 0.028 0.028 M1079 0.305 TRUE
1504 M1079 0.041 0.069 0.046 0.082 0.052 0.043 0.067 0.041 0.057 0.095 0.061 0.049 0.064 0.053 0.054 0.045 0.08 M244 0.095 FALSE
1522 M1079 0.032 0.314 0.045 0.044 0.035 0.03 0.033 0.06 0.059 0.041 0.034 0.029 0.035 0.044 0.033 0.05 0.083 M1079 0.314 TRUE
1808 M1975 0.027 0.071 0.049 0.09 0.044 0.036 0.039 0.179 0.091 0.053 0.035 0.036 0.039 0.043 0.048 0.053 0.066 M1975 0.179 TRUE
1837 M1975 0.027 0.049 0.051 0.041 0.036 0.042 0.034 0.238 0.196 0.026 0.034 0.035 0.04 0.032 0.033 0.04 0.046 M1975 0.238 TRUE
2387 M1551 0.037 0.06 0.085 0.065 0.065 0.054 0.084 0.041 0.032 0.045 0.06 0.066 0.051 0.048 0.09 0.052 0.066 M831 0.09 FALSE
2599 M1106 0.06 0.073 0.04 0.06 0.063 0.057 0.059 0.045 0.084 0.061 0.072 0.047 0.055 0.058 0.045 0.051 0.071 M1979 0.084 FALSE
3363 M1102 0.048 0.047 0.068 0.046 0.079 0.06 0.053 0.032 0.031 0.052 0.075 0.064 0.101 0.077 0.075 0.057 0.035 M813 0.101 FALSE
3571 M1106 0.036 0.073 0.048 0.099 0.047 0.093 0.063 0.045 0.05 0.053 0.057 0.045 0.055 0.048 0.051 0.06 0.079 M1106 0.099 TRUE
