idind	idcol	Thu20	Thu21	Thu22	Thu23	Thu24	Thu25	Thu26	Thu27	Thu28	Thu29	Thu30	Thu31	Thu32	Thu33	Thu34	Thu35	Thu36	Thu37	Thu38	Thu39	run	col_origin	proba_col_origin	col_inferred	natal_disperser	proba_bin	proba_rank
1147	Thu20	0.078	0.041	0.044	0.13	0.008	0.059	0.063	0.019	0.023	0.077	0.031	0.051	0.036	0.051	0.074	0.011	0.017	0.048	0.069	0.071	7	Thu36	0.017	Thu23	TRUE	0.1 < p < 0.25	18
1156	Thu27	0.057	0.027	0.037	0.066	0.009	0.046	0.052	0.072	0.022	0.061	0.02	0.038	0.078	0.079	0.024	0.009	0.024	0.061	0.049	0.169	7	Thu30	0.02	Thu39	TRUE	0.1 < p < 0.25	18
1157	Thu37	0.074	0.011	0.034	0.017	0.007	0.024	0.072	0.21	0.008	0.092	0.008	0.012	0.046	0.035	0.08	0.014	0.092	0.072	0.038	0.054	7	Thu28	0.008	Thu27	TRUE	0.1 < p < 0.25	18
1162	Thu32	0.04	0.027	0.037	0.036	0.011	0.253	0.025	0.1	0.032	0.042	0.026	0.033	0.08	0.029	0.056	0.018	0.015	0.038	0.021	0.079	7	Thu35	0.018	Thu25	TRUE	0.25 < p < 0.5	18
1167	Thu33	0.086	0.017	0.03	0.037	0.01	0.081	0.036	0.064	0.014	0.096	0.012	0.014	0.091	0.085	0.035	0.008	0.06	0.078	0.068	0.079	7	Thu30	0.012	Thu29	TRUE	p < 0.1	18
1173	Thu28	0.012	0.192	0.01	0.013	0.006	0.014	0.011	0.01	0.417	0.012	0.177	0.038	0.013	0.011	0.013	0.007	0.009	0.011	0.011	0.013	7	Thu36	0.009	Thu28	TRUE	0.25 < p < 0.5	18
1176	Thu22	0.056	0.017	0.058	0.046	0.007	0.125	0.039	0.06	0.014	0.048	0.013	0.036	0.025	0.077	0.072	0.008	0.106	0.093	0.047	0.052	7	Thu30	0.013	Thu25	TRUE	0.1 < p < 0.25	18
1182	Thu25	0.038	0.016	0.03	0.026	0.029	0.109	0.02	0.048	0.011	0.071	0.013	0.011	0.085	0.046	0.255	0.008	0.04	0.049	0.044	0.05	7	Thu28	0.011	Thu34	TRUE	0.25 < p < 0.5	18
1185	Thu37	0.046	0.014	0.035	0.07	0.007	0.091	0.027	0.119	0.012	0.065	0.012	0.018	0.061	0.075	0.058	0.013	0.037	0.083	0.052	0.105	7	Thu28	0.012	Thu27	TRUE	0.1 < p < 0.25	18
1200	Thu26	0.081	0.037	0.033	0.082	0.01	0.051	0.055	0.04	0.024	0.071	0.018	0.064	0.038	0.054	0.042	0.013	0.025	0.059	0.107	0.096	7	Thu30	0.018	Thu38	TRUE	0.1 < p < 0.25	18
1205	Thu28	0.02	0.356	0.014	0.017	0.013	0.017	0.021	0.01	0.279	0.018	0.126	0.008	0.01	0.013	0.027	0.004	0.011	0.013	0.012	0.014	7	Thu32	0.01	Thu21	TRUE	0.25 < p < 0.5	18
1207	Thu28	0.01	0.336	0.007	0.008	0.005	0.008	0.009	0.007	0.43	0.009	0.091	0.014	0.008	0.009	0.01	0.005	0.007	0.009	0.01	0.009	7	Thu36	0.007	Thu28	TRUE	0.25 < p < 0.5	18
1208	Thu21	0.01	0.409	0.007	0.009	0.005	0.009	0.009	0.006	0.305	0.01	0.143	0.016	0.008	0.008	0.009	0.005	0.007	0.008	0.008	0.008	7	Thu27	0.006	Thu21	TRUE	0.25 < p < 0.5	18
1212	Thu26	0.085	0.017	0.061	0.082	0.008	0.03	0.331	0.02	0.018	0.026	0.016	0.045	0.019	0.012	0.137	0.005	0.015	0.025	0.017	0.031	7	Thu33	0.012	Thu26	TRUE	0.25 < p < 0.5	18
1214	Thu26	0.093	0.023	0.032	0.054	0.011	0.051	0.046	0.045	0.011	0.099	0.011	0.05	0.042	0.061	0.043	0.023	0.03	0.059	0.15	0.067	7	Thu24	0.011	Thu38	TRUE	0.1 < p < 0.25	18
1218	Thu29	0.097	0.012	0.025	0.106	0.01	0.022	0.015	0.05	0.012	0.336	0.01	0.011	0.016	0.033	0.018	0.006	0.038	0.029	0.028	0.124	7	Thu24	0.01	Thu29	TRUE	0.25 < p < 0.5	18
1222	Thu28	0.005	0.142	0.004	0.004	0.011	0.005	0.005	0.004	0.686	0.005	0.085	0.008	0.004	0.005	0.005	0.004	0.004	0.004	0.005	0.004	7	Thu36	0.004	Thu28	TRUE	p > 0.5	18
1224	Thu21	0.027	0.218	0.014	0.014	0.007	0.013	0.027	0.033	0.377	0.017	0.033	0.012	0.014	0.014	0.038	0.051	0.032	0.031	0.013	0.014	7	Thu38	0.013	Thu28	TRUE	0.25 < p < 0.5	18
1226	Thu28	0.005	0.075	0.004	0.004	0.005	0.005	0.004	0.004	0.767	0.005	0.082	0.008	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004	7	Thu37	0.004	Thu28	TRUE	p > 0.5	18
1233	Thu28	0.005	0.119	0.005	0.005	0.004	0.006	0.005	0.005	0.732	0.005	0.058	0.009	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.006	7	Thu37	0.005	Thu28	TRUE	p > 0.5	18
1236	Thu28	0.009	0.586	0.007	0.006	0.006	0.01	0.008	0.008	0.247	0.008	0.023	0.016	0.009	0.008	0.007	0.011	0.007	0.009	0.008	0.007	7	Thu39	0.007	Thu21	TRUE	p > 0.5	18
1237	Thu31	0.017	0.025	0.014	0.009	0.01	0.013	0.013	0.01	0.026	0.011	0.015	0.749	0.007	0.012	0.008	0.018	0.011	0.011	0.011	0.01	7	Thu23	0.009	Thu31	TRUE	p > 0.5	18
1239	Thu37	0.038	0.015	0.035	0.02	0.008	0.054	0.031	0.394	0.01	0.06	0.009	0.012	0.039	0.05	0.058	0.009	0.028	0.043	0.028	0.06	7	Thu30	0.009	Thu27	TRUE	0.25 < p < 0.5	18
1240	Thu28	0.014	0.444	0.015	0.013	0.028	0.011	0.026	0.029	0.111	0.017	0.126	0.032	0.028	0.022	0.019	0.005	0.016	0.014	0.014	0.015	7	Thu23	0.013	Thu21	TRUE	0.25 < p < 0.5	18
1241	Thu21	0.013	0.472	0.015	0.009	0.012	0.01	0.021	0.037	0.158	0.016	0.06	0.035	0.028	0.022	0.02	0.006	0.022	0.014	0.015	0.014	7	Thu25	0.01	Thu21	TRUE	0.25 < p < 0.5	18
1248	Thu35	0.065	0.037	0.031	0.022	0.009	0.081	0.027	0.106	0.035	0.042	0.022	0.023	0.032	0.033	0.067	0.171	0.046	0.059	0.039	0.053	7	Thu23	0.022	Thu35	TRUE	0.1 < p < 0.25	18
1250	Thu30	0.015	0.486	0.011	0.009	0.006	0.012	0.011	0.012	0.197	0.013	0.103	0.026	0.012	0.012	0.011	0.015	0.012	0.012	0.014	0.012	7	Thu34	0.011	Thu21	TRUE	0.25 < p < 0.5	18
1259	Thu28	0.01	0.162	0.011	0.01	0.005	0.011	0.009	0.009	0.495	0.009	0.188	0.012	0.009	0.009	0.01	0.006	0.008	0.009	0.009	0.01	7	Thu36	0.008	Thu28	TRUE	0.25 < p < 0.5	18
1265	Thu21	0.01	0.456	0.008	0.007	0.006	0.009	0.009	0.01	0.296	0.009	0.076	0.025	0.011	0.009	0.009	0.012	0.009	0.009	0.01	0.009	7	Thu22	0.008	Thu21	TRUE	0.25 < p < 0.5	18
1276	Thu30	0.009	0.223	0.011	0.01	0.006	0.009	0.011	0.014	0.471	0.01	0.134	0.014	0.011	0.01	0.012	0.004	0.009	0.01	0.009	0.011	7	Thu38	0.009	Thu28	TRUE	0.25 < p < 0.5	18
1283	Thu37	0.061	0.013	0.035	0.067	0.008	0.092	0.022	0.126	0.011	0.077	0.01	0.014	0.053	0.061	0.048	0.022	0.077	0.075	0.063	0.065	7	Thu28	0.011	Thu27	TRUE	0.1 < p < 0.25	18
1291	Thu20	0.049	0.054	0.023	0.045	0.008	0.062	0.022	0.08	0.067	0.043	0.046	0.04	0.093	0.066	0.033	0.036	0.069	0.062	0.042	0.057	7	Thu22	0.023	Thu32	TRUE	p < 0.1	18
1301	Thu28	0.013	0.219	0.011	0.01	0.005	0.01	0.011	0.009	0.489	0.01	0.125	0.01	0.008	0.01	0.012	0.005	0.008	0.011	0.01	0.012	7	Thu36	0.008	Thu28	TRUE	0.25 < p < 0.5	18
1302	Thu21	0.017	0.126	0.019	0.025	0.005	0.018	0.013	0.014	0.337	0.016	0.291	0.015	0.014	0.013	0.016	0.007	0.011	0.014	0.013	0.017	7	Thu36	0.011	Thu28	TRUE	0.25 < p < 0.5	18
1306	Thu28	0.008	0.158	0.007	0.007	0.004	0.008	0.008	0.007	0.641	0.007	0.084	0.007	0.006	0.007	0.008	0.004	0.006	0.007	0.007	0.008	7	Thu36	0.006	Thu28	TRUE	p > 0.5	18
1307	Thu32	0.091	0.091	0.031	0.06	0.017	0.038	0.079	0.04	0.046	0.049	0.026	0.058	0.026	0.058	0.047	0.036	0.017	0.043	0.075	0.075	7	Thu32	0.026	Thu20	FALSE	p < 0.1	18
1308	Thu21	0.019	0.375	0.012	0.01	0.007	0.013	0.014	0.013	0.284	0.015	0.111	0.015	0.014	0.016	0.016	0.008	0.014	0.014	0.016	0.013	7	Thu23	0.01	Thu21	TRUE	0.25 < p < 0.5	18
1309	Thu21	0.011	0.39	0.008	0.009	0.006	0.008	0.01	0.007	0.279	0.01	0.18	0.013	0.008	0.009	0.008	0.006	0.009	0.009	0.009	0.009	7	Thu27	0.007	Thu21	TRUE	0.25 < p < 0.5	18
1310	Thu21	0.025	0.311	0.014	0.018	0.009	0.018	0.017	0.013	0.169	0.023	0.241	0.024	0.018	0.015	0.016	0.009	0.017	0.014	0.014	0.014	7	Thu27	0.013	Thu21	TRUE	0.25 < p < 0.5	18
1313	Thu31	0.016	0.015	0.013	0.014	0.008	0.019	0.012	0.019	0.018	0.015	0.018	0.672	0.048	0.016	0.011	0.012	0.018	0.018	0.02	0.018	7	Thu35	0.012	Thu31	TRUE	p > 0.5	18
1317	Thu26	0.09	0.009	0.138	0.077	0.008	0.028	0.044	0.035	0.012	0.092	0.009	0.015	0.042	0.047	0.04	0.023	0.037	0.106	0.064	0.084	7	Thu21	0.009	Thu22	TRUE	0.1 < p < 0.25	18
1318	Thu26	0.099	0.018	0.189	0.05	0.007	0.06	0.033	0.029	0.032	0.106	0.019	0.012	0.046	0.042	0.037	0.007	0.022	0.073	0.039	0.081	7	Thu31	0.012	Thu22	TRUE	0.1 < p < 0.25	18
1320	Thu22	0.059	0.009	0.179	0.05	0.015	0.045	0.031	0.054	0.015	0.122	0.009	0.016	0.082	0.036	0.026	0.006	0.041	0.075	0.053	0.077	7	Thu21	0.009	Thu22	TRUE	0.1 < p < 0.25	18
1322	Thu32	0.043	0.009	0.032	0.047	0.008	0.05	0.031	0.057	0.012	0.054	0.011	0.019	0.223	0.048	0.013	0.005	0.068	0.064	0.042	0.164	7	Thu21	0.009	Thu32	TRUE	0.1 < p < 0.25	18
1323	Thu33	0.106	0.01	0.021	0.018	0.009	0.062	0.028	0.094	0.009	0.077	0.008	0.025	0.063	0.13	0.019	0.006	0.139	0.068	0.022	0.084	7	Thu28	0.009	Thu36	TRUE	0.1 < p < 0.25	18
1325	Thu32	0.042	0.007	0.04	0.027	0.01	0.053	0.044	0.161	0.006	0.088	0.006	0.016	0.141	0.041	0.029	0.006	0.056	0.06	0.059	0.111	7	Thu28	0.006	Thu27	TRUE	0.1 < p < 0.25	18
1326	Thu32	0.045	0.007	0.033	0.021	0.008	0.078	0.039	0.184	0.006	0.076	0.005	0.013	0.139	0.041	0.03	0.006	0.033	0.061	0.042	0.132	7	Thu28	0.006	Thu27	TRUE	0.1 < p < 0.25	18
1328	Thu29	0.044	0.015	0.032	0.045	0.01	0.057	0.05	0.079	0.008	0.055	0.006	0.02	0.147	0.123	0.033	0.007	0.036	0.117	0.069	0.046	7	Thu28	0.008	Thu32	TRUE	0.1 < p < 0.25	18
1337	Thu32	0.092	0.011	0.029	0.024	0.008	0.072	0.054	0.092	0.01	0.072	0.009	0.011	0.102	0.056	0.053	0.011	0.054	0.094	0.049	0.099	7	Thu28	0.01	Thu32	TRUE	0.1 < p < 0.25	18
1338	Thu31	0.052	0.058	0.022	0.021	0.019	0.072	0.037	0.029	0.032	0.052	0.031	0.272	0.09	0.024	0.022	0.024	0.032	0.03	0.042	0.041	7	Thu34	0.022	Thu31	TRUE	0.25 < p < 0.5	18
1343	Thu32	0.06	0.008	0.04	0.039	0.006	0.068	0.06	0.113	0.009	0.036	0.009	0.026	0.034	0.044	0.074	0.009	0.181	0.108	0.026	0.049	7	Thu35	0.009	Thu36	TRUE	0.1 < p < 0.25	18
1344	Thu22	0.057	0.019	0.063	0.051	0.008	0.133	0.049	0.047	0.02	0.042	0.018	0.054	0.036	0.078	0.042	0.005	0.084	0.086	0.045	0.062	7	Thu30	0.018	Thu25	TRUE	0.1 < p < 0.25	18
1351	Thu20	0.051	0.019	0.082	0.069	0.008	0.064	0.084	0.057	0.022	0.068	0.019	0.022	0.052	0.045	0.093	0.005	0.033	0.056	0.05	0.101	7	Thu30	0.019	Thu39	TRUE	0.1 < p < 0.25	18
1356	Thu22	0.088	0.038	0.035	0.073	0.009	0.091	0.045	0.027	0.022	0.058	0.014	0.031	0.089	0.076	0.035	0.009	0.029	0.108	0.082	0.043	7	Thu30	0.014	Thu37	TRUE	0.1 < p < 0.25	18
1365	Thu20	0.09	0.033	0.05	0.07	0.008	0.061	0.095	0.026	0.027	0.058	0.024	0.037	0.037	0.056	0.068	0.009	0.018	0.056	0.077	0.1	7	Thu36	0.018	Thu39	TRUE	0.1 < p < 0.25	18
1366	Thu29	0.063	0.1	0.037	0.061	0.009	0.034	0.048	0.019	0.056	0.043	0.051	0.1	0.031	0.061	0.027	0.015	0.019	0.048	0.104	0.077	7	Thu36	0.019	Thu38	TRUE	0.1 < p < 0.25	18
1368	Thu32	0.078	0.03	0.019	0.01	0.011	0.023	0.054	0.087	0.026	0.042	0.018	0.017	0.164	0.067	0.02	0.013	0.168	0.064	0.037	0.053	7	Thu35	0.013	Thu36	TRUE	0.1 < p < 0.25	18
1370	Thu32	0.049	0.008	0.032	0.02	0.006	0.048	0.038	0.288	0.01	0.028	0.009	0.02	0.04	0.031	0.027	0.009	0.18	0.084	0.017	0.057	7	Thu35	0.009	Thu27	TRUE	0.25 < p < 0.5	18
1372	Thu37	0.069	0.016	0.022	0.024	0.008	0.087	0.033	0.093	0.01	0.042	0.007	0.011	0.175	0.137	0.019	0.009	0.032	0.116	0.038	0.052	7	Thu35	0.009	Thu32	TRUE	0.1 < p < 0.25	18
1374	Thu39	0.036	0.007	0.033	0.024	0.008	0.049	0.022	0.225	0.006	0.06	0.006	0.011	0.11	0.07	0.021	0.012	0.103	0.068	0.05	0.081	7	Thu21	0.007	Thu27	TRUE	0.1 < p < 0.25	18
1377	Thu26	0.074	0.011	0.086	0.011	0.007	0.014	0.405	0.039	0.01	0.028	0.009	0.017	0.02	0.034	0.016	0.007	0.033	0.114	0.021	0.045	7	Thu30	0.009	Thu26	TRUE	0.25 < p < 0.5	18
1380	Thu38	0.062	0.018	0.073	0.039	0.007	0.028	0.095	0.084	0.019	0.027	0.014	0.023	0.056	0.072	0.034	0.008	0.081	0.093	0.055	0.113	7	Thu30	0.014	Thu39	TRUE	0.1 < p < 0.25	18
1381	Thu23	0.076	0.015	0.044	0.026	0.015	0.035	0.149	0.122	0.013	0.087	0.011	0.012	0.05	0.032	0.048	0.006	0.095	0.053	0.029	0.083	7	Thu31	0.012	Thu26	TRUE	0.1 < p < 0.25	18
1387	Thu32	0.042	0.02	0.04	0.02	0.008	0.047	0.048	0.258	0.015	0.047	0.011	0.015	0.046	0.083	0.044	0.008	0.038	0.063	0.05	0.097	7	Thu30	0.011	Thu27	TRUE	0.25 < p < 0.5	18
1388	Thu39	0.021	0.11	0.046	0.03	0.01	0.018	0.027	0.059	0.072	0.03	0.079	0.084	0.066	0.083	0.023	0.014	0.097	0.042	0.048	0.039	7	Thu25	0.018	Thu21	TRUE	0.1 < p < 0.25	18
1389	Thu36	0.025	0.009	0.056	0.034	0.01	0.021	0.04	0.231	0.008	0.048	0.008	0.012	0.045	0.053	0.063	0.011	0.179	0.059	0.045	0.044	7	Thu21	0.009	Thu27	TRUE	0.1 < p < 0.25	18
1391	Thu32	0.043	0.011	0.025	0.029	0.01	0.066	0.046	0.053	0.012	0.032	0.01	0.057	0.058	0.072	0.039	0.01	0.072	0.101	0.046	0.206	7	Thu24	0.01	Thu39	TRUE	0.1 < p < 0.25	18
1396	Thu32	0.059	0.008	0.037	0.038	0.009	0.053	0.026	0.076	0.007	0.08	0.007	0.01	0.123	0.077	0.02	0.008	0.189	0.058	0.064	0.051	7	Thu35	0.008	Thu36	TRUE	0.1 < p < 0.25	18
1400	Thu36	0.063	0.011	0.029	0.027	0.006	0.042	0.025	0.107	0.01	0.051	0.01	0.011	0.074	0.08	0.024	0.03	0.165	0.1	0.058	0.076	7	Thu28	0.01	Thu36	TRUE	0.1 < p < 0.25	18
1402	Thu20	0.095	0.014	0.054	0.068	0.007	0.031	0.025	0.06	0.016	0.123	0.014	0.01	0.03	0.072	0.021	0.007	0.094	0.056	0.037	0.166	7	Thu31	0.01	Thu39	TRUE	0.1 < p < 0.25	18
1403	Thu32	0.049	0.022	0.02	0.021	0.008	0.059	0.022	0.088	0.026	0.041	0.023	0.029	0.31	0.053	0.015	0.014	0.058	0.047	0.029	0.067	7	Thu34	0.015	Thu32	TRUE	0.25 < p < 0.5	18
1408	Thu31	0.037	0.091	0.019	0.025	0.015	0.041	0.036	0.025	0.078	0.027	0.059	0.336	0.045	0.019	0.017	0.032	0.016	0.022	0.022	0.041	7	Thu34	0.017	Thu31	TRUE	0.25 < p < 0.5	18
1409	Thu21	0.018	0.228	0.014	0.011	0.008	0.02	0.014	0.021	0.252	0.016	0.107	0.114	0.037	0.019	0.012	0.028	0.022	0.018	0.021	0.018	7	Thu34	0.012	Thu28	TRUE	0.25 < p < 0.5	18
1410	Thu20	0.066	0.107	0.029	0.02	0.009	0.045	0.034	0.051	0.131	0.03	0.058	0.029	0.032	0.049	0.035	0.055	0.052	0.061	0.053	0.056	7	Thu31	0.029	Thu28	TRUE	0.1 < p < 0.25	18
1411	Thu33	0.069	0.088	0.024	0.015	0.013	0.091	0.034	0.052	0.065	0.038	0.04	0.045	0.093	0.062	0.036	0.055	0.045	0.045	0.048	0.042	7	Thu22	0.024	Thu32	TRUE	p < 0.1	18
1412	Thu37	0.047	0.015	0.02	0.035	0.008	0.11	0.021	0.053	0.011	0.024	0.007	0.024	0.05	0.183	0.017	0.013	0.103	0.18	0.05	0.029	7	Thu28	0.011	Thu33	TRUE	0.1 < p < 0.25	18
1414	Thu37	0.052	0.014	0.034	0.032	0.008	0.133	0.024	0.12	0.014	0.033	0.012	0.041	0.042	0.089	0.019	0.009	0.126	0.09	0.044	0.064	7	Thu30	0.012	Thu25	TRUE	0.1 < p < 0.25	18
1416	Thu32	0.057	0.052	0.017	0.046	0.039	0.09	0.041	0.115	0.021	0.027	0.007	0.011	0.087	0.097	0.025	0.039	0.016	0.144	0.033	0.035	7	Thu36	0.016	Thu37	TRUE	0.1 < p < 0.25	18
1417	Thu37	0.072	0.02	0.035	0.051	0.009	0.049	0.072	0.105	0.014	0.051	0.008	0.015	0.087	0.071	0.05	0.009	0.06	0.128	0.051	0.043	7	Thu24	0.009	Thu37	TRUE	0.1 < p < 0.25	18
1422	Thu38	0.055	0.014	0.035	0.03	0.026	0.02	0.076	0.076	0.008	0.039	0.009	0.011	0.03	0.17	0.096	0.024	0.049	0.078	0.112	0.042	7	Thu31	0.011	Thu33	TRUE	0.1 < p < 0.25	18
1424	Thu33	0.076	0.012	0.043	0.036	0.01	0.062	0.078	0.125	0.009	0.068	0.008	0.016	0.051	0.081	0.066	0.014	0.028	0.06	0.064	0.093	7	Thu24	0.01	Thu27	TRUE	0.1 < p < 0.25	18
1426	Thu36	0.064	0.011	0.041	0.019	0.007	0.022	0.079	0.171	0.008	0.057	0.008	0.009	0.03	0.039	0.142	0.015	0.143	0.06	0.039	0.036	7	Thu28	0.008	Thu27	TRUE	0.1 < p < 0.25	18
1433	Thu39	0.052	0.017	0.045	0.04	0.009	0.057	0.037	0.147	0.015	0.061	0.013	0.019	0.067	0.077	0.034	0.009	0.067	0.07	0.071	0.092	7	Thu30	0.013	Thu27	TRUE	0.1 < p < 0.25	18
1435	Thu33	0.039	0.016	0.039	0.029	0.008	0.02	0.037	0.099	0.012	0.046	0.011	0.015	0.032	0.075	0.04	0.017	0.239	0.078	0.098	0.048	7	Thu28	0.012	Thu36	TRUE	0.1 < p < 0.25	18
1438	Thu39	0.042	0.183	0.037	0.027	0.012	0.028	0.042	0.038	0.059	0.052	0.102	0.101	0.058	0.037	0.023	0.013	0.049	0.03	0.034	0.035	7	Thu34	0.023	Thu21	TRUE	0.1 < p < 0.25	18
1439	Thu20	0.059	0.013	0.078	0.038	0.007	0.02	0.169	0.071	0.014	0.027	0.011	0.015	0.024	0.039	0.148	0.01	0.096	0.072	0.043	0.048	7	Thu30	0.011	Thu26	TRUE	0.1 < p < 0.25	18
1447	Thu33	0.042	0.01	0.039	0.024	0.007	0.023	0.073	0.206	0.011	0.038	0.008	0.01	0.026	0.031	0.18	0.013	0.097	0.073	0.032	0.054	7	Thu31	0.01	Thu27	TRUE	0.1 < p < 0.25	18
1448	Thu33	0.047	0.013	0.053	0.05	0.008	0.033	0.042	0.183	0.013	0.064	0.013	0.019	0.06	0.045	0.042	0.011	0.125	0.063	0.051	0.066	7	Thu30	0.013	Thu27	TRUE	0.1 < p < 0.25	18
1451	Thu32	0.028	0.125	0.022	0.016	0.014	0.022	0.03	0.054	0.077	0.029	0.063	0.099	0.168	0.053	0.021	0.017	0.07	0.032	0.034	0.026	7	Thu35	0.017	Thu32	TRUE	0.1 < p < 0.25	18
1452	Thu32	0.042	0.074	0.03	0.019	0.018	0.026	0.046	0.072	0.043	0.046	0.029	0.046	0.093	0.088	0.03	0.011	0.119	0.049	0.08	0.038	7	Thu23	0.019	Thu36	TRUE	0.1 < p < 0.25	18
1453	Thu33	0.031	0.008	0.099	0.027	0.007	0.039	0.027	0.048	0.007	0.036	0.007	0.008	0.032	0.19	0.047	0.009	0.163	0.089	0.093	0.033	7	Thu24	0.007	Thu33	TRUE	0.1 < p < 0.25	18
1461	Thu20	0.067	0.025	0.043	0.027	0.009	0.156	0.04	0.055	0.017	0.042	0.015	0.027	0.084	0.061	0.089	0.016	0.022	0.057	0.052	0.096	7	Thu35	0.016	Thu25	TRUE	0.1 < p < 0.25	18
1469	Thu26	0.098	0.1	0.035	0.027	0.012	0.061	0.086	0.035	0.064	0.071	0.063	0.037	0.056	0.036	0.056	0.009	0.043	0.036	0.032	0.044	7	Thu23	0.027	Thu21	TRUE	0.1 < p < 0.25	18
1470	Thu20	0.11	0.014	0.032	0.017	0.007	0.026	0.09	0.092	0.011	0.055	0.009	0.009	0.024	0.041	0.165	0.018	0.119	0.073	0.051	0.036	7	Thu30	0.009	Thu34	TRUE	0.1 < p < 0.25	18
1479	Thu22	0.062	0.019	0.031	0.075	0.011	0.035	0.044	0.041	0.016	0.041	0.013	0.068	0.036	0.077	0.025	0.095	0.025	0.058	0.123	0.106	7	Thu28	0.016	Thu38	TRUE	0.1 < p < 0.25	18
1481	Thu37	0.098	0.021	0.034	0.033	0.007	0.051	0.041	0.097	0.018	0.059	0.016	0.015	0.049	0.066	0.049	0.027	0.086	0.092	0.072	0.069	7	Thu30	0.016	Thu20	TRUE	p < 0.1	18
1483	Thu20	0.044	0.116	0.03	0.026	0.008	0.032	0.025	0.033	0.087	0.036	0.065	0.061	0.057	0.068	0.026	0.037	0.077	0.056	0.074	0.041	7	Thu34	0.026	Thu21	TRUE	0.1 < p < 0.25	18
1487	Thu39	0.068	0.019	0.032	0.084	0.011	0.031	0.052	0.029	0.014	0.042	0.013	0.034	0.032	0.126	0.031	0.063	0.034	0.061	0.147	0.077	7	Thu28	0.014	Thu38	TRUE	0.1 < p < 0.25	18
1489	Thu33	0.065	0.021	0.037	0.046	0.006	0.027	0.065	0.099	0.039	0.035	0.02	0.016	0.027	0.038	0.09	0.018	0.116	0.105	0.046	0.083	7	Thu35	0.018	Thu36	TRUE	0.1 < p < 0.25	18
1491	Thu33	0.064	0.021	0.035	0.054	0.006	0.05	0.046	0.093	0.037	0.037	0.02	0.016	0.037	0.056	0.06	0.014	0.074	0.109	0.053	0.118	7	Thu31	0.016	Thu39	TRUE	0.1 < p < 0.25	18
1492	Thu32	0.066	0.025	0.031	0.071	0.007	0.097	0.022	0.062	0.03	0.048	0.029	0.02	0.077	0.099	0.023	0.017	0.052	0.075	0.06	0.089	7	Thu31	0.02	Thu33	TRUE	p < 0.1	18
1493	Thu33	0.07	0.012	0.034	0.037	0.007	0.067	0.048	0.132	0.014	0.046	0.01	0.01	0.041	0.048	0.118	0.016	0.063	0.097	0.046	0.083	7	Thu30	0.01	Thu27	TRUE	0.1 < p < 0.25	18
1495	Thu33	0.112	0.037	0.031	0.082	0.023	0.044	0.116	0.028	0.018	0.071	0.019	0.076	0.032	0.045	0.033	0.029	0.019	0.037	0.067	0.08	7	Thu30	0.019	Thu26	TRUE	0.1 < p < 0.25	18
1498	Thu37	0.093	0.018	0.038	0.027	0.008	0.029	0.064	0.099	0.016	0.057	0.014	0.012	0.033	0.042	0.112	0.032	0.132	0.081	0.052	0.042	7	Thu30	0.014	Thu36	TRUE	0.1 < p < 0.25	18
1499	Thu37	0.119	0.037	0.031	0.068	0.013	0.065	0.057	0.035	0.018	0.086	0.022	0.044	0.043	0.064	0.025	0.03	0.032	0.052	0.076	0.082	7	Thu30	0.022	Thu20	TRUE	0.1 < p < 0.25	18
1502	Thu33	0.021	0.018	0.014	0.015	0.05	0.04	0.016	0.014	0.036	0.017	0.018	0.233	0.022	0.025	0.013	0.352	0.018	0.02	0.035	0.025	7	Thu22	0.014	Thu35	TRUE	0.25 < p < 0.5	18
1512	Thu33	0.037	0.016	0.041	0.021	0.014	0.159	0.02	0.09	0.015	0.037	0.017	0.029	0.163	0.063	0.021	0.062	0.037	0.048	0.047	0.062	7	Thu21	0.016	Thu32	TRUE	0.1 < p < 0.25	18
1513	Thu27	0.031	0.005	0.041	0.024	0.008	0.094	0.027	0.124	0.005	0.032	0.005	0.013	0.057	0.128	0.024	0.006	0.24	0.066	0.032	0.035	7	Thu21	0.005	Thu36	TRUE	0.1 < p < 0.25	18
1514	Thu20	0.036	0.009	0.044	0.017	0.008	0.041	0.1	0.072	0.008	0.022	0.008	0.039	0.034	0.143	0.014	0.007	0.079	0.198	0.041	0.08	7	Thu28	0.008	Thu37	TRUE	0.1 < p < 0.25	18
1515	Thu36	0.021	0.006	0.038	0.015	0.008	0.044	0.024	0.223	0.004	0.035	0.005	0.01	0.184	0.059	0.05	0.01	0.129	0.053	0.038	0.043	7	Thu21	0.006	Thu27	TRUE	0.1 < p < 0.25	18
1521	Thu32	0.023	0.008	0.045	0.03	0.009	0.028	0.022	0.138	0.006	0.043	0.007	0.016	0.088	0.12	0.019	0.013	0.156	0.067	0.099	0.063	7	Thu21	0.008	Thu36	TRUE	0.1 < p < 0.25	18
1525	Thu32	0.018	0.007	0.048	0.032	0.013	0.021	0.023	0.103	0.006	0.044	0.006	0.013	0.078	0.101	0.02	0.01	0.256	0.052	0.11	0.039	7	Thu21	0.007	Thu36	TRUE	0.25 < p < 0.5	18
1526	Thu32	0.023	0.016	0.03	0.018	0.01	0.028	0.025	0.138	0.012	0.037	0.014	0.047	0.274	0.081	0.016	0.015	0.084	0.042	0.044	0.047	7	Thu30	0.014	Thu32	TRUE	0.25 < p < 0.5	18
