"d" "freq" "dist"
0 0.00160771704180064 "H0"
0 0.00321543408360129 "H0"
0 0.00482315112540193 "H0"
0 0.00643086816720257 "H0"
0 0.00803858520900321 "H0"
0 0.00964630225080386 "H0"
0 0.0112540192926045 "H0"
0 0.0128617363344051 "H0"
0 0.0144694533762058 "H0"
0 0.0160771704180064 "H0"
0 0.0176848874598071 "H0"
0 0.0192926045016077 "H0"
0 0.0209003215434084 "H0"
0 0.022508038585209 "H0"
0 0.0241157556270096 "H0"
0 0.0257234726688103 "H0"
0 0.0273311897106109 "H0"
0 0.0289389067524116 "H0"
0 0.0305466237942122 "H0"
0 0.0321543408360129 "H0"
0 0.0337620578778135 "H0"
0 0.0353697749196141 "H0"
0 0.0369774919614148 "H0"
0 0.0385852090032154 "H0"
0 0.0401929260450161 "H0"
0 0.0418006430868167 "H0"
0 0.0434083601286174 "H0"
0 0.045016077170418 "H0"
0 0.0466237942122186 "H0"
0 0.0482315112540193 "H0"
0 0.0498392282958199 "H0"
0 0.0514469453376206 "H0"
0 0.0530546623794212 "H0"
0 0.0546623794212219 "H0"
0 0.0562700964630225 "H0"
0 0.0578778135048231 "H0"
0 0.0594855305466238 "H0"
0 0.0610932475884244 "H0"
0 0.0627009646302251 "H0"
0 0.0643086816720257 "H0"
0 0.0659163987138264 "H0"
0 0.067524115755627 "H0"
0 0.0691318327974277 "H0"
0 0.0707395498392283 "H0"
0 0.0723472668810289 "H0"
0 0.0739549839228296 "H0"
0 0.0755627009646302 "H0"
0 0.0771704180064309 "H0"
0 0.0787781350482315 "H0"
0 0.0803858520900322 "H0"
0 0.0819935691318328 "H0"
0 0.0836012861736334 "H0"
0 0.0852090032154341 "H0"
0 0.0868167202572347 "H0"
0 0.0884244372990354 "H0"
0 0.090032154340836 "H0"
0 0.0916398713826367 "H0"
0 0.0932475884244373 "H0"
0 0.0948553054662379 "H0"
0 0.0964630225080386 "H0"
0 0.0980707395498392 "H0"
0.688501335647245 0.0996784565916399 "H0"
0.688501335647245 0.101286173633441 "H0"
0.688501335647245 0.102893890675241 "H0"
0.688501335647245 0.104501607717042 "H0"
0.688501335647245 0.106109324758842 "H0"
0.688501335647245 0.107717041800643 "H0"
1.46074543047808 0.109324758842444 "H0"
1.46074543047808 0.110932475884244 "H0"
1.46074543047808 0.112540192926045 "H0"
1.46074543047808 0.114147909967846 "H0"
1.46074543047808 0.115755627009646 "H0"
1.46074543047808 0.117363344051447 "H0"
1.46074543047808 0.118971061093248 "H0"
1.49482186150384 0.120578778135048 "H0"
1.49482186150384 0.122186495176849 "H0"
1.49482186150384 0.12379421221865 "H0"
3.42377667875592 0.12540192926045 "H0"
3.42377667875592 0.127009646302251 "H0"
3.42377667875592 0.128617363344051 "H0"
3.52767083150872 0.130225080385852 "H0"
3.52767083150872 0.131832797427653 "H0"
3.52767083150872 0.133440514469453 "H0"
4.10018723290228 0.135048231511254 "H0"
4.10018723290228 0.136655948553055 "H0"
4.10018723290228 0.138263665594855 "H0"
4.10018723290228 0.139871382636656 "H0"
4.10018723290228 0.141479099678457 "H0"
4.10018723290228 0.143086816720257 "H0"
4.10018723290228 0.144694533762058 "H0"
4.10018723290228 0.146302250803859 "H0"
4.10018723290228 0.147909967845659 "H0"
4.10018723290228 0.14951768488746 "H0"
4.10018723290228 0.15112540192926 "H0"
4.10018723290228 0.152733118971061 "H0"
4.10018723290228 0.154340836012862 "H0"
4.10018723290228 0.155948553054662 "H0"
4.10018723290228 0.157556270096463 "H0"
4.10018723290228 0.159163987138264 "H0"
4.10018723290228 0.160771704180064 "H0"
4.10018723290228 0.162379421221865 "H0"
4.10018723290228 0.163987138263666 "H0"
4.10018723290228 0.165594855305466 "H0"
4.32504875207697 0.167202572347267 "H0"
4.32504875207697 0.168810289389068 "H0"
5.04395856330814 0.170418006430868 "H0"
5.04395856330814 0.172025723472669 "H0"
5.04395856330814 0.173633440514469 "H0"
5.04395856330814 0.17524115755627 "H0"
5.04395856330814 0.176848874598071 "H0"
5.12703685774854 0.178456591639871 "H0"
5.12703685774854 0.180064308681672 "H0"
5.12703685774854 0.181672025723473 "H0"
5.12703685774854 0.183279742765273 "H0"
5.12703685774854 0.184887459807074 "H0"
5.12703685774854 0.186495176848875 "H0"
5.54589496097235 0.188102893890675 "H0"
5.54589496097235 0.189710610932476 "H0"
5.54589496097235 0.191318327974277 "H0"
5.54589496097235 0.192926045016077 "H0"
5.54589496097235 0.194533762057878 "H0"
5.54589496097235 0.196141479099678 "H0"
5.54589496097235 0.197749196141479 "H0"
5.54589496097235 0.19935691318328 "H0"
5.54589496097235 0.20096463022508 "H0"
5.54589496097235 0.202572347266881 "H0"
5.54589496097235 0.204180064308682 "H0"
